country_wealth_rank,country,iso3,wb_country_name,billionaire_count,total_wealth_usd_m,total_wealth_usd,mean_wealth_usd_m,median_wealth_usd_m,max_wealth_usd_m,top_billionaire,dominant_industry_by_wealth,self_made_count,self_made_ratio_pct,mean_age,country_wealth_gdp_pct,billionaires_per_million_pop,wealth_concentration_tier,gdp_per_billionaire_bn,sector_dominance_score,gdp_usd,population,gdp_year
1,United States,USA,United States,978,8342857.33,8342857350000.0,8530.528967280165,3075.915,800629.06,Elon Musk,Technology,706,72.2,66.6,29.0177,2.8755,Very High (20–40%),29.4,23.35,28750956130731.2,340110988.0,2024.0
2,China,CHN,China,528,2134679.32,2134679239000.0,4042.953257575757,2047.715,69300.0,Zhang Yiming,Technology,513,97.2,60.6,11.3887,0.3747,High (10–20%),35.5,15.26,18743803170827.2,1408975000.0,2024.0
3,India,IND,India,225,989622.96,989622971000.0,4398.3242666666665,2284.8,94836.79,Mukesh Ambani,Diversified,106,47.1,68.8,25.3108,0.1551,Very High (20–40%),17.38,12.2,3909891533858.08,1450935791.0,2024.0
4,Germany,DEU,Germany,212,985821.88,985821883000.0,4650.103207547169,2428.135,65613.88,Dieter Schwarz,Fashion & Retail,57,26.9,61.2,21.0394,2.5384,Very High (20–40%),22.1,14.32,4685592577804.69,83516593.0,2024.0
5,Russia,RUS,Russian Federation,149,653326.62,653326645000.0,4384.742416107382,1802.68,36946.33,Alexey Mordashov & family,Metals & Mining,140,94.0,60.9,30.0541,1.0381,Very High (20–40%),14.59,17.19,2173835806671.66,143533851.0,2024.0
6,France,FRA,France,54,591640.15,591640151000.0,10956.299074074075,3904.225,151350.62,Bernard Arnault & family,Fashion & Retail,25,46.3,65.4,18.7202,0.7877,High (10–20%),58.53,39.58,3160442622465.08,68551653.0,2024.0
7,Italy,ITA,Italy,83,463424.6,463424599000.0,5583.42891566265,2441.03,89300.0,Giancarlo Devasini,Finance & Investments,29,34.9,63.6,19.4649,1.4079,High (10–20%),28.68,23.97,2380825077243.59,58952704.0,2024.0
8,Canada,CAN,Canada,81,443797.17,443797192000.0,5478.977407407408,3051.65,109705.71,Changpeng Zhao,Finance & Investments,65,80.2,67.7,19.7803,1.9618,High (10–20%),27.7,22.88,2243636826633.76,41288599.0,2024.0
9,Hong Kong,HKG,"Hong Kong SAR, China",70,422587.23,422587238000.0,6036.960428571429,2982.3199999999997,64437.41,Robin Zeng,Real Estate,45,64.3,67.9,103.8646,9.3034,Extreme (≥40% of GDP),5.81,16.36,406863396487.342,7524100.0,2024.0
10,Switzerland,CHE,Switzerland,43,273626.95,273626938000.0,6363.417441860465,3960.44,44608.52,Gianluigi Aponte,Logistics,18,41.9,67.2,29.216,4.7748,Very High (20–40%),21.78,19.52,936564198048.516,9005582.0,2024.0
11,Spain,ESP,Spain,44,270441.05,270441055000.0,6146.3875,2076.065,140357.23,Amancio Ortega,Fashion & Retail,11,25.0,70.2,15.6716,0.9007,High (10–20%),39.22,44.35,1725671652742.19,48848840.0,2024.0
12,United Kingdom,GBR,United Kingdom,55,270350.57,270350608000.0,4915.464909090909,2716.54,20901.0,Michael Platt,Finance & Investments,49,89.1,70.3,7.3345,0.7945,Moderate (3–10%),67.02,16.65,3686033044482.13,69226000.0,2024.0
13,Brazil,BRA,Brazil,74,265150.82,265150829000.0,3583.1191891891895,1876.88,34913.38,Eduardo Saverin,Finance & Investments,29,39.2,63.2,12.1305,0.3491,High (10–20%),29.54,15.12,2185821648943.86,211998573.0,2024.0
14,Mexico,MEX,Mexico,24,263189.4,263189380000.0,10966.225,2221.39,127464.49,Carlos Slim Helu & family,Telecom,8,33.3,73.0,14.1777,0.1834,High (10–20%),77.35,31.22,1856365616165.94,130861007.0,2024.0
15,Taiwan,TWN,Taiwan,65,239323.51,239323478000.0,3681.900153846154,2520.82,14995.51,Barry Lam,Technology,40,61.5,74.7,31.6287,2.7576,Very High (20–40%),11.64,20.46,756666000000.0,23571000.0,2023.0
16,Australia,AUS,Australia,56,238116.62,238116632000.0,4252.0824999999995,2491.3,25235.2,Gina Rinehart,Metals & Mining,39,69.6,67.4,13.5523,2.0591,High (10–20%),31.38,16.13,1757022451652.83,27196812.0,2024.0
17,Israel,ISR,Israel,43,228996.56,228996558000.0,5325.501395348837,2802.5,34533.51,Eyal Ofer,Diversified,28,65.1,63.8,42.377,4.311,Extreme (≥40% of GDP),12.57,17.07,540379921261.681,9974400.0,2024.0
18,Sweden,SWE,Sweden,53,220150.25,220150290000.0,4153.778301886792,2035.96,22292.64,Stefan Persson,Diversified,24,45.3,60.8,36.4659,5.0143,Very High (20–40%),11.39,14.16,603715224265.798,10569709.0,2024.0
19,Japan,JPN,Japan,44,218491.69,218491718000.0,4965.720227272727,1809.0,65629.54,Tadashi Yanai & family,Fashion & Retail,30,68.2,74.3,5.4249,0.3549,Moderate (3–10%),91.54,25.83,4027597523550.58,123975371.0,2024.0
20,Indonesia,IDN,Indonesia,32,170068.76,170068760000.0,5314.64875,3530.95,23834.81,Prajogo Pangestu,Diversified,22,68.8,72.1,12.18,0.1129,High (10–20%),43.63,21.42,1396300098190.97,283487931.0,2024.0
21,South Korea,KOR,"Korea, Rep.",47,163627.11000000002,163627091000.0,3481.427872340426,2277.33,24563.79,Jay Y. Lee,Technology,19,40.4,60.4,8.725,0.9082,Moderate (3–10%),39.9,26.04,1875388209406.8,51751065.0,2024.0
22,Singapore,SGP,Singapore,54,147593.63,147593602000.0,2733.2153703703702,1933.42,13927.52,Jason Chang,Real Estate,28,51.9,64.7,26.9633,8.945,Very High (20–40%),10.14,16.83,547386645891.847,6036860.0,2024.0
23,Czech Republic,CZE,Czechia,12,100942.47,100942477000.0,8411.8725,5845.52,30790.26,Michal Strnad,Manufacturing,10,83.3,57.2,29.0872,1.1004,Very High (20–40%),28.92,18.66,347034062928.479,10905028.0,2024.0
24,Turkey,TUR,Turkiye,40,93366.18,93366180000.0,2334.1544999999996,1925.1,13933.39,Hamdi Ulukaya,Diversified,19,47.5,70.4,8.4265,0.4687,Moderate (3–10%),27.7,20.03,1108003393820.0,85341241.0,2023.0
25,Thailand,THA,Thailand,20,92448.45,92448459000.0,4622.4225,2270.665,18826.25,Dhanin Chearavanont,Diversified,10,50.0,76.4,17.5585,0.2791,High (10–20%),26.33,35.59,526517658841.684,71668011.0,2024.0
26,Greece,GRC,Greece,21,89228.11,89228110000.0,4248.957619047619,2635.0,26417.9,Vicky Safra & family,Logistics,12,57.1,69.7,34.8223,2.0182,Very High (20–40%),12.2,33.5,256238371778.118,10405134.0,2024.0
27,Netherlands,NLD,Netherlands,13,79617.57,79617570000.0,6124.428461538462,1911.6,38000.0,Jean-Louis van der Velde,Finance & Investments,9,69.2,61.2,6.5533,0.7225,Moderate (3–10%),93.46,31.1,1214927698572.66,17993485.0,2024.0
28,Austria,AUT,Austria,9,78881.73999999999,78881738000.0,8764.637777777776,3571.6,45315.49,Mark Mateschitz,Food & Beverage,8,88.9,62.7,14.75,0.9806,High (10–20%),59.42,37.0,534790720466.822,9177982.0,2024.0
29,Norway,NOR,Norway,18,78673.29,78673257000.0,4370.738333333333,2481.26,18230.49,Torstein Hagen,Service,9,50.0,60.0,16.2685,3.2303,High (10–20%),26.87,17.74,483592648313.301,5572279.0,2024.0
30,Malaysia,MYS,Malaysia,24,76992.58,76992603000.0,3208.0241666666666,1896.64,13911.46,Robert Kuok,Diversified,14,58.3,72.2,18.2349,0.675,High (10–20%),17.59,17.96,422227005428.688,35557673.0,2024.0
31,Ireland,IRL,Ireland,13,72035.13,72035133000.0,5541.163846153847,2990.04,17490.0,John Collison,Technology,9,69.2,60.2,11.8254,2.4093,High (10–20%),46.86,32.29,609157459747.205,5395790.0,2024.0
32,Chile,CHL,Chile,6,66655.38,66655389000.0,11109.230000000001,3249.9799999999996,48189.51,Iris Fontbona & family,Metals & Mining,2,33.3,74.5,20.1823,0.3036,Very High (20–40%),55.04,64.24,330267137371.592,19764771.0,2024.0
33,Denmark,DNK,Denmark,8,56458.59,56458610000.0,7057.32375,7787.67,16685.41,Anders Holch Povlsen,Manufacturing,1,12.5,60.4,13.2993,1.3385,High (10–20%),53.07,46.39,424524722037.047,5976992.0,2024.0
34,Cyprus,CYP,Cyprus,9,55955.02,55955035000.0,6217.224444444444,1630.05,21564.64,Vinod Adani,Diversified,6,66.7,65.6,148.68,6.626,Extreme (≥40% of GDP),4.18,30.33,37634533331.8902,1358282.0,2024.0
35,Belgium,BEL,Belgium,17,52368.520000000004,52368495000.0,3080.5011764705887,2932.93,9000.0,Eric Wittouck,Finance & Investments,6,35.3,67.8,7.8002,1.4336,Moderate (3–10%),39.49,16.66,671370081636.406,11858610.0,2024.0
36,Saudi Arabia,SAU,Saudi Arabia,11,51361.58,51361579000.0,4669.234545454546,2411.63,20826.38,Prince Alwaleed Bin Talal Alsaud,Finance & Investments,3,27.3,65.5,4.1427,0.3116,Moderate (3–10%),112.71,31.99,1239804533333.33,35300280.0,2024.0
37,Nigeria,NGA,Nigeria,4,49518.18,49518182000.0,12379.545,9774.119999999999,28643.73,Aliko Dangote,Manufacturing,3,75.0,67.5,19.6297,0.0172,High (10–20%),63.07,49.12,252261880141.151,232679478.0,2024.0
38,Colombia,COL,Colombia,4,44236.28,44236292000.0,11059.07,12312.43,15112.37,Jaime Gilinski Bacal,Finance & Investments,2,50.0,73.0,10.5622,0.0756,High (10–20%),104.7,81.73,418818154879.271,52886363.0,2024.0
39,South Africa,ZAF,South Africa,8,42711.55,42711542000.0,5338.94375,3455.33,15292.45,Johann Rupert & family,Fashion & Retail,6,75.0,77.4,10.6474,0.125,High (10–20%),50.14,30.37,401144998373.585,64007187.0,2024.0
