rank,person_name,gender,age,country,iso3,wb_country_name,state,city,net_worth_usd_m,net_worth_usd,source_of_wealth,industries,primary_industry,self_made,wealth_gdp_ratio_pct,wealth_per_citizen_usd,wealth_country_share_pct,sector_dominance_score,gdp_usd,population,gdp_year,forbes_uri,scrape_timestamp,birth_year
1,Elon Musk,M,54.0,United States,USA,United States,Texas,Austin,800629.06,800629059000.0,"Tesla, SpaceX",Technology,Technology,True,2.784704,2354.0229,9.5966,23.35,28750956130731.2,340110988.0,2024.0,elon-musk,2026-04-10 21:32 UTC,1971.0
2,Larry Page,M,53.0,United States,USA,United States,California,Palo Alto,260898.2,260898195000.0,Google,Technology,Technology,True,0.907442,767.0972,3.1272,23.35,28750956130731.2,340110988.0,2024.0,larry-page,2026-04-10 21:32 UTC,1973.0
3,Jeff Bezos,M,62.0,United States,USA,United States,Florida,Miami,248778.91,248778913000.0,Amazon,Technology,Technology,True,0.865289,731.4639,2.9819,23.35,28750956130731.2,340110988.0,2024.0,jeff-bezos,2026-04-10 21:32 UTC,1964.0
4,Sergey Brin,M,52.0,United States,USA,United States,California,Los Altos,240743.24,240743239000.0,Google,Technology,Technology,True,0.83734,707.8373,2.8856,23.35,28750956130731.2,340110988.0,2024.0,sergey-brin,2026-04-10 21:32 UTC,1973.0
5,Mark Zuckerberg,M,41.0,United States,USA,United States,California,Palo Alto,216089.31,216089311000.0,Facebook,Technology,Technology,True,0.75159,635.3494,2.5901,23.35,28750956130731.2,340110988.0,2024.0,mark-zuckerberg,2026-04-10 21:32 UTC,1984.0
6,Larry Ellison,M,81.0,United States,USA,United States,Florida,Manalapan,179055.65,179055646000.0,Oracle,Technology,Technology,True,0.622782,526.4624,2.1462,23.35,28750956130731.2,340110988.0,2024.0,larry-ellison,2026-04-10 21:32 UTC,1944.0
7,Jensen Huang,M,63.0,United States,USA,United States,California,Los Altos,163293.01,163293014000.0,Semiconductors,Technology,Technology,True,0.567957,480.1168,1.9573,23.35,28750956130731.2,340110988.0,2024.0,jensen-huang,2026-04-10 21:32 UTC,1963.0
8,Michael Dell,M,61.0,United States,USA,United States,Texas,Austin,158994.27,158994267000.0,Dell Technologies,Technology,Technology,True,0.553005,467.4776,1.9058,23.35,28750956130731.2,340110988.0,2024.0,michael-dell,2026-04-10 21:32 UTC,1965.0
9,Bernard Arnault & family,M,77.0,France,FRA,France,,Paris,151350.62,151350618000.0,LVMH,Fashion & Retail,Fashion & Retail,False,4.788906,2207.8332,25.5815,39.58,3160442622465.08,68551653.0,2024.0,bernard-arnault,2026-04-10 21:32 UTC,1949.0
10,Rob Walton & family,M,81.0,United States,USA,United States,Arkansas,Bentonville,144971.96,144971961000.0,Walmart,Fashion & Retail,Fashion & Retail,False,0.504234,426.249,1.7377,23.35,28750956130731.2,340110988.0,2024.0,rob-walton,2026-04-10 21:32 UTC,1944.0
