name,age,net_worth_million_usd,industry,industries,country,self_made,gender
Elon Musk,54.0,800629.06,Technology,Technology,United States,True,M
Larry Page,53.0,260898.2,Technology,Technology,United States,True,M
Jeff Bezos,62.0,248778.91,Technology,Technology,United States,True,M
Sergey Brin,52.0,240743.24,Technology,Technology,United States,True,M
Mark Zuckerberg,41.0,216089.31,Technology,Technology,United States,True,M
Larry Ellison,81.0,179055.65,Technology,Technology,United States,True,M
Jensen Huang,63.0,163293.01,Technology,Technology,United States,True,M
Michael Dell,61.0,158994.27,Technology,Technology,United States,True,M
Bernard Arnault & family,77.0,151350.62,Fashion & Retail,Fashion & Retail,France,False,M
Rob Walton & family,81.0,144971.96,Fashion & Retail,Fashion & Retail,United States,False,M
Jim Walton & family,77.0,142247.62,Fashion & Retail,Fashion & Retail,United States,False,M
Warren Buffett,95.0,142093.85,Finance & Investments,Finance & Investments,United States,True,M
Amancio Ortega,90.0,140357.23,Fashion & Retail,Fashion & Retail,Spain,True,M
Alice Walton,76.0,133082.98,Fashion & Retail,Fashion & Retail,United States,False,F
Carlos Slim Helu & family,86.0,127464.49,Telecom,Telecom,Mexico,True,M
Steve Ballmer,70.0,120811.14,Technology,Technology,United States,True,M
Changpeng Zhao,49.0,109705.71,Finance & Investments,Finance & Investments,Canada,True,M
Michael Bloomberg,84.0,109419.0,Finance & Investments,Finance & Investments,United States,True,M
Bill Gates,70.0,104126.09,Technology,Technology,United States,True,M
Mukesh Ambani,69.0,94836.79,Diversified,Diversified,India,False,M
Francoise Bettencourt Meyers & family,72.0,90753.04,Fashion & Retail,Fashion & Retail,France,False,F
Giancarlo Devasini,61.0,89300.0,Finance & Investments,Finance & Investments,Italy,True,M
Thomas Peterffy,81.0,82887.12,Finance & Investments,Finance & Investments,United States,True,M
Julia Koch & family,64.0,81190.0,Diversified,Diversified,United States,False,F
Charles Koch & family,90.0,73790.0,Diversified,Diversified,United States,False,M
Zhang Yiming,42.0,69300.0,Technology,Technology,China,True,M
Gautam Adani,63.0,67638.76,Diversified,Diversified,India,True,M
Zhong Shanshan,71.0,67610.16,Food & Beverage,Food & Beverage,China,True,M
Jeff Yass,67.0,67435.0,Finance & Investments,Finance & Investments,United States,True,M
Tadashi Yanai & family,77.0,65629.54,Fashion & Retail,Fashion & Retail,Japan,True,M
Dieter Schwarz,86.0,65613.88,Fashion & Retail,Fashion & Retail,Germany,False,M
Robin Zeng,57.0,64437.41,Energy,Energy,Hong Kong,True,M
Germán Larrea Mota Velasco & family,72.0,63005.06,Metals & Mining,Metals & Mining,Mexico,False,M
Ma Huateng,54.0,52677.16,Technology,Technology,China,True,M
Ken Griffin,57.0,49939.31,Finance & Investments,Finance & Investments,United States,True,M
Lukas Walton,39.0,48594.89,Fashion & Retail,Fashion & Retail,United States,False,M
Giovanni Ferrero,61.0,48250.76,Food & Beverage,Food & Beverage,Italy,False,M
Iris Fontbona & family,83.0,48189.51,Metals & Mining,Metals & Mining,Chile,False,F
Li Ka-shing,97.0,47305.38,Diversified,Diversified,Hong Kong,True,M
Masayoshi Son,68.0,47075.27,Finance & Investments,Finance & Investments,Japan,True,M
Jacqueline Mars,86.0,46717.78,Food & Beverage,Food & Beverage,United States,False,F
John Mars,90.0,46717.78,Food & Beverage,Food & Beverage,United States,False,M
Mark Mateschitz,33.0,45315.49,Food & Beverage,Food & Beverage,Austria,False,M
Gianluigi Aponte,85.0,44608.52,Logistics,Logistics,Switzerland,True,M
Rafaela Aponte-Diamant,81.0,44608.52,Logistics,Logistics,Switzerland,True,F
Andrea Pignataro,55.0,42185.67,Finance & Investments,Finance & Investments,Italy,True,M
Klaus-Michael Kuehne,88.0,40279.72,Logistics,Logistics,Germany,False,M
Alain Wertheimer,77.0,39423.25,Fashion & Retail,Fashion & Retail,France,False,M
Gerard Wertheimer,75.0,39423.25,Fashion & Retail,Fashion & Retail,France,False,M
Thomas Frist Jr & family,87.0,38747.99,Healthcare,Healthcare,United States,True,M
Stephen Schwarzman,79.0,38658.28,Finance & Investments,Finance & Investments,United States,True,M
Savitri Jindal & family,76.0,38035.79,Metals & Mining,Metals & Mining,India,False,F
Jean-Louis van der Velde,62.0,38000.0,Finance & Investments,Finance & Investments,Netherlands,True,M
Paolo Ardoino,41.0,38000.0,Finance & Investments,Finance & Investments,Italy,True,M
William Ding,54.0,37243.57,Technology,Technology,China,True,M
Alexey Mordashov & family,60.0,36946.33,Metals & Mining,Metals & Mining,Russia,True,M
Miriam Adelson & family,80.0,36238.48,Gambling & Casinos,Gambling & Casinos,United States,False,F
Eric Schmidt,71.0,35965.55,Technology,Technology,United States,True,M
Zheng Shuliang & family,80.0,35372.17,Metals & Mining,Metals & Mining,China,False,F
