name,age,net_worth_million_usd,industries,country,self_made,gender
Elon Musk,54,800629.06,Technology,United States,True,M
Larry Page,53,260898.2,Technology,United States,True,M
Jeff Bezos,62,248778.91,Technology,United States,True,M
Sergey Brin,52,240743.24,Technology,United States,True,M
Mark Zuckerberg,41,216089.31,Technology,United States,True,M
Larry Ellison,81,179055.65,Technology,United States,True,M
Jensen Huang,63,163293.01,Technology,United States,True,M
Michael Dell,61,158994.27,Technology,United States,True,M
Bernard Arnault & family,77,151350.62,Fashion & Retail,France,False,M
Rob Walton & family,81,144971.96,Fashion & Retail,United States,False,M
Jim Walton & family,77,142247.62,Fashion & Retail,United States,False,M
Warren Buffett,95,142093.85,Finance & Investments,United States,True,M
Amancio Ortega,90,140357.23,Fashion & Retail,Spain,True,M
Alice Walton,76,133082.98,Fashion & Retail,United States,False,F
Carlos Slim Helu & family,86,127464.49,Telecom,Mexico,True,M
Steve Ballmer,70,120811.14,Technology,United States,True,M
Changpeng Zhao,49,109705.71,Finance & Investments,Canada,True,M
Michael Bloomberg,84,109419.0,Finance & Investments,United States,True,M
Bill Gates,70,104126.09,Technology,United States,True,M
Mukesh Ambani,69,94836.79,Diversified,India,False,M
Francoise Bettencourt Meyers & family,72,90753.04,Fashion & Retail,France,False,F
Giancarlo Devasini,61,89300.0,Finance & Investments,Italy,True,M
Thomas Peterffy,81,82887.12,Finance & Investments,United States,True,M
Julia Koch & family,64,81190.0,Diversified,United States,False,F
Charles Koch & family,90,73790.0,Diversified,United States,False,M
Zhang Yiming,42,69300.0,Technology,China,True,M
Gautam Adani,63,67638.76,Diversified,India,True,M
Zhong Shanshan,71,67610.16,Food & Beverage,China,True,M
Jeff Yass,67,67435.0,Finance & Investments,United States,True,M
Tadashi Yanai & family,77,65629.54,Fashion & Retail,Japan,True,M
Dieter Schwarz,86,65613.88,Fashion & Retail,Germany,False,M
Robin Zeng,57,64437.41,Energy,Hong Kong,True,M
Germán Larrea Mota Velasco & family,72,63005.06,Metals & Mining,Mexico,False,M
Ma Huateng,54,52677.16,Technology,China,True,M
Ken Griffin,57,49939.31,Finance & Investments,United States,True,M
Lukas Walton,39,48594.89,Fashion & Retail,United States,False,M
Giovanni Ferrero,61,48250.76,Food & Beverage,Italy,False,M
Iris Fontbona & family,83,48189.51,Metals & Mining,Chile,False,F
Li Ka-shing,97,47305.38,Diversified,Hong Kong,True,M
Masayoshi Son,68,47075.27,Finance & Investments,Japan,True,M
Jacqueline Mars,86,46717.78,Food & Beverage,United States,False,F
John Mars,90,46717.78,Food & Beverage,United States,False,M
Mark Mateschitz,33,45315.49,Food & Beverage,Austria,False,M
Gianluigi Aponte,85,44608.52,Logistics,Switzerland,True,M
Rafaela Aponte-Diamant,81,44608.52,Logistics,Switzerland,True,F
Andrea Pignataro,55,42185.67,Finance & Investments,Italy,True,M
Klaus-Michael Kuehne,88,40279.72,Logistics,Germany,False,M
Alain Wertheimer,77,39423.25,Fashion & Retail,France,False,M
Gerard Wertheimer,75,39423.25,Fashion & Retail,France,False,M
Thomas Frist Jr & family,87,38747.99,Healthcare,United States,True,M
Stephen Schwarzman,79,38658.28,Finance & Investments,United States,True,M
Savitri Jindal & family,76,38035.79,Metals & Mining,India,False,F
Jean-Louis van der Velde,62,38000.0,Finance & Investments,Netherlands,True,M
Paolo Ardoino,41,38000.0,Finance & Investments,Italy,True,M
William Ding,54,37243.57,Technology,China,True,M
Alexey Mordashov & family,60,36946.33,Metals & Mining,Russia,True,M
Miriam Adelson & family,80,36238.48,Gambling & Casinos,United States,False,F
Eric Schmidt,71,35965.55,Technology,United States,True,M
Zheng Shuliang & family,80,35372.17,Metals & Mining,China,False,F
Colin Huang,46,35303.51,Technology,China,True,M
Henry Samueli,71,35247.34,Technology,United States,True,M
Eduardo Saverin,44,34913.38,Technology,Brazil,True,M
Eyal Ofer,75,34533.51,Diversified,Israel,False,M
Idan Ofer,70,33366.41,Diversified,Israel,False,M
He Xiangjian & family,83,32700.13,Manufacturing,China,True,M
Marilyn Simons & family,75,32548.96,Finance & Investments,United States,False,F
Abigail Johnson,64,31979.84,Finance & Investments,United States,False,F
Robert Pera,48,31674.24,Technology,United States,True,M
Shiv Nadar,80,31498.72,Technology,India,True,M
Lyndal Stephens Greth & family,51,31464.18,Energy,United States,False,F
Len Blavatnik,68,31391.15,Diversified,United States,True,M
Elaine Marshall & family,83,30930.0,Diversified,United States,False,F
MacKenzie Scott,56,30873.33,Technology,United States,False,F
